"F_CODE","pval","pval1","pval2"
"3.a",7.59363174438477e-05,2.62260437011719e-06,2.14576721191406e-06
"3.b, c",0.515680313110352,0.887626349925995,0.412450790405273
"3.d",0.193410396575928,0.428568840026855,0.113356351852417
"4.a",1.07288360595703e-06,8.34465026855469e-07,1.19209289550781e-07
"4.b",1.19209289550781e-07,5.96046447753906e-07,5.96046447753906e-07
"4.c",0.000506281852722168,1.59740447998047e-05,7.5221061706543e-05
"6.a",0.00288522243499756,0.00440943241119385,0.000227808952331543
"6.b",0.748195707798004,0.748195648193359,0.335518360137939
"6.b",0.246251583099365,0.916051089763641,0.342781662940979
"7.a",0.272831678390503,0.0417025089263916,0.530915975570679
"7.b",0.518725514411926,0.849467873573303,0.676272988319397
"7.c",0.621684908866882,0.767170310020447,0.921382188796997
"7.d",0.327515721321106,0.427993953227997,0.938059747219086
"7.g",0.811623454093933,0.978873372077942,0.118193797767162
"7.h",0.0279524940997362,0.474611043930054,0.106232143938541
"7.j",0.290103316307068,0.223764300346375,0.957815766334534
"7.k",0.473576545715332,0.695862293243408,0.0506350994110107
"8.a",0.0661771297454834,0.0661771297454834,1
"8.b",0.567542195320129,0.129473507404327,0.980170249938965
"8.c",0.171706110239029,0.648691475391388,0.515156447887421
"8.d",0.672183811664581,0.601170420646667,0.636259198188782
"9.a",0.509949445724487,0.58293890953064,0.91255259513855
